question,text
aftrlife,Do you believe that there is life after death?
angels,Do you believe in the existence of angels?
astrolgy,"Do you believe in astrology, that stars and planets affect people's lives?"
brkmoral,It is sometimes okay to break moral rules if it works to your advantage and you can get away with it.
demons,Do you believe in the existence of demons or evil spirits?
divrceok,"Do you think that, in general, a couple without children should end their marriage if it is empty and unfulfilling, or should they stick with it even if they are not happy?"
god,"Do you believe in God, or not, or are you unsure?"
godworld,"God created the world; the world is not the product of purely natural forces, like the Big Bang or evolution?"
heaven,"Do you believe in heaven as a place where some people go after death, or not?"
mandecid,Most of the important decisions in the life of the family should be made by the man of the house.
manmar,A man can have a fully satisfying life without getting married.
miracles,Do you believe in the possibility of divine mirables from God?
moralchg,The world is always changing and we should adjust our views of what is morally right and wrong to reflect those changes.
moralrel,"Morals are relative, there are no definite rights and wrongs for everybody."
reincar,"Do you believe in reincarnation, that people have lived previous lives?"
relprvte,Religion is a private matter that should be kept out of public debates about social and political issues.
unmarsex,It is alright for two unmarried people who are not in love to have sex.
wommar,A woman can have a fully satisfying life without getting married. 
wrkngmom,A working mother can establish as warm and secure a relationship with her children as a mother who does not work.